Description,Qty,Total Amount,all_nan,Branch,Division,Group
CARAMEL MACHIATO SMALL,863.0,"198,199.66",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
CARAMEL MACHIATO MEDIUM,886.0,"238,232.93",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
SIGNATURE HOT CHOCOLATE SMALL,571.0,"126,013.54",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
SIGNATURE HOT CHOCOLATE MEDIUM,449.0,"122,577.42",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
STEAMED MILK SMALL,37.0,"3,913.27",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
STEAMED MILK MEDIUM,12.0,"2,040.69",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
LATTE LARGE,643.0,"178,481.32",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
MOCHA  LARGE,60.0,"18,357.75",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
CAPPUCCINO LARGE,193.0,"54,282.16",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
STEAMED MILK LARGE,1.0,200.00,False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
WHITE MOCHA LARGE,317.0,"98,680.75",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
CARAMEL MACCHIATO LARGE,115.0,"36,413.12",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
MATCHA LATTE SMALL,299.0,"58,144.38",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
MATCHA LATTE MEDIUM,471.0,"111,569.05",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
MATCHA LATTE LARGE,101.0,"28,462.82",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
FLAT WHITE,2179.0,"283,608.31",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
HOT DOUBLE SHOT SMALL,335.0,"69,481.29",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
HOT DOUBLE SHOT MEDIUM,185.0,"50,738.26",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
HOT DOUBLE SHOT LARGE,44.0,"15,241.14",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
TOFFEE NUT LATTE MEDIUM,319.0,"86,903.42",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
TOFFEE NUT LATTE SMALL,294.0,"69,249.85",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
CLASSIC HOT CHOC SMALL,108.0,"23,802.17",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
CLASSIC HOT CHOC MEDIUM,107.0,"28,729.95",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
HOT DOUBLE SHOT TOFFEE NUT SMALL,5.0,"1,375.38",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
HOT DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,924.32,False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
CLASSIC HOT CHOC LARGE,26.0,"8,287.96",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
SPANISH LATTE SMALL,768.0,"174,998.26",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
SPANISH LATTE MEDIUM,578.0,"176,355.72",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
SALTED CARAMEL LATTE SMALL,144.0,"34,067.75",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
SALTED CARAMEL LATTE MEDIUM,221.0,"62,348.23",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
SALTED CARAMEL LATTE LARGE,32.0,"11,130.93",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
SIGNATURE HOT CHOCOLATE LARGE,106.0,"33,558.38",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
TOFFEE NUT LATTE LARGE,43.0,"15,054.95",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
Total by Group: MIXED HOT BEVERAGE,22591.0,"5,059,071.62",False,Stories - Bir Hasan,HOT BAR SECTION,MIXED HOT BEVERAGE
ENGLISH BREAKFAST TEA MEDIUM,166.0,"23,935.89",False,Stories - Bir Hasan,HOT BAR SECTION,TEA
EARL GREY LAVENDER TEA MEDIUM,72.0,"10,251.35",False,Stories - Bir Hasan,HOT BAR SECTION,TEA
ORGANIC GREEN TEA MEDIUM,94.0,"13,557.06",False,Stories - Bir Hasan,HOT BAR SECTION,TEA
SOUTHERN MINT HERBAL TEA MEDIUM,56.0,"8,577.03",False,Stories - Bir Hasan,HOT BAR SECTION,TEA
ADD ENGLISH BREAKFAST TEA BAG,8.0,292.79,False,Stories - Bir Hasan,HOT BAR SECTION,TEA
ADD EARL GREY LAVENDER  BAG,12.0,426.13,False,Stories - Bir Hasan,HOT BAR SECTION,TEA
ADD GREEN TEA BAG,6.0,200.00,False,Stories - Bir Hasan,HOT BAR SECTION,TEA
ADD SOUTHERN MINT HERBAL TEA BAG,9.0,300.00,False,Stories - Bir Hasan,HOT BAR SECTION,TEA
GOLDEN CHAMOMILE HERBAL TEA MEDIUM,62.0,"9,030.03",False,Stories - Bir Hasan,HOT BAR SECTION,TEA
SWEET GINGER PEACH BLACK TEA MEDIUM,68.0,"10,192.19",False,Stories - Bir Hasan,HOT BAR SECTION,TEA
ADD GOLDEN CHAMOMILE HERBAL TEA BAG,10.0,333.33,False,Stories - Bir Hasan,HOT BAR SECTION,TEA
ADD SWEET GINGER PEACH BLACK  TEA BAG,15.0,517.42,False,Stories - Bir Hasan,HOT BAR SECTION,TEA
BOMBAY CHAI BLACK TEA MEDIUM,41.0,"6,000.00",False,Stories - Bir Hasan,HOT BAR SECTION,TEA
ADD BOMBAY CHAI TEA BAG,6.0,200.00,False,Stories - Bir Hasan,HOT BAR SECTION,TEA
MEDITERRANEAN CARAMEL TEA MEDIUM,20.0,"3,358.86",False,Stories - Bir Hasan,HOT BAR SECTION,TEA
LEMONGRASS&ORANGE TEA MEDIUM,16.0,"2,354.35",False,Stories - Bir Hasan,HOT BAR SECTION,TEA
ADD MEDITERRANEAN CARAMEL TEA BAG,1.0,33.33,False,Stories - Bir Hasan,HOT BAR SECTION,TEA
ADD LEMONGRASS&ORANGE TEA BAG,2.0,84.08,False,Stories - Bir Hasan,HOT BAR SECTION,TEA
Total by Group: TEA,664.0,"89,643.84",False,Stories - Bir Hasan,HOT BAR SECTION,TEA
YIRGACHEFFE BEANS 250G,22.0,"13,939.94",False,Stories - Bir Hasan,HOT BAR SECTION,BEANS
HOUSE BLEND BEANS 250G,45.125,"23,214.41",False,Stories - Bir Hasan,HOT BAR SECTION,BEANS
Total by Group: BEANS,67.125,"37,154.35",False,Stories - Bir Hasan,HOT BAR SECTION,BEANS
Total by Division: HOT BAR SECTION,33381.125,"6,869,184.94",False,Stories - Bir Hasan,HOT BAR SECTION,
ICED AMERICANO SMALL,329.0,"60,657.16",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED AMERICANO MEDIUM,348.0,"81,989.20",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED LATTE SMALL,1888.0,"295,020.42",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED LATTE MEDIUM,2605.0,"621,121.77",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED MOCHA SMALL,338.0,"54,684.68",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED MOCHA MEDIUM,339.0,"92,755.56",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED WHITE MOCHA SMALL,1249.0,"256,086.85",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED WHITE MOCHA MEDIUM,1888.0,"515,809.13",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED AMERICANO LARGE,123.0,"33,878.61",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED LATTE LARGE,708.0,"199,489.73",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED MOCHA LARGE,69.0,"21,593.96",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED WHITE MOCHA LARGE,501.0,"155,063.09",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
DOUBLE SHOT SHAKEN MEDIUM,1013.0,"243,831.81",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
DOUBLE SHOT SHAKEN LARGE,193.0,"54,185.35",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED MATCHA LATTE SMALL,953.0,"192,352.97",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED MATCHA LATTE MEDIUM,1651.0,"402,051.29",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED MATCHA LATTE LARGE,775.0,"221,634.24",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
DOUBLE SHOT SHAKEN SMALL,1286.0,"166,815.62",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED CARAMEL MACCHIATO SMALL,791.0,"187,752.28",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED CARAMEL MACCHIATO MEDIUM,1642.0,"454,097.90",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED CARAMEL MACCHIATO LARGE,417.0,"133,285.62",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED TOFFEE NUT LATTE SMALL,31.0,"7,376.70",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED TOFFEE NUT LATTE MEDIUM,96.0,"25,806.13",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED CLASSIC CHOC MEDIUM,54.0,"14,766.13",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED CLASSIC CHOC SMALL,37.0,"8,665.59",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
BLUE NADE,332.0,"89,044.32",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED DOUBLE SHOT TOFFEE NUT SMALL,6.0,"1,428.42",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED DOUBLE SHOT TOFFEE NUT MEDIUM,3.0,800.24,False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
SIGNATURE ICED CHOCOLATE SMALL,9.0,"1,921.92",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
SIGNATURE ICED CHOCOLATE MEDIUM,12.0,"3,360.36",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED TOFFEE NUT LATTE LARGE,16.0,"5,267.87",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED CLASSIC CHOC LARGE,10.0,"3,145.95",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
SIGNATURE ICED CHOCOLATE LARGE,3.0,912.91,False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED SPANISH LATTE SMALL,662.0,"158,023.48",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED SPANISH LATTE MEDIUM,1249.0,"377,626.18",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED SALTED CARAMEL LATTE SMALL,173.0,"40,807.87",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED SALTED CARAMEL LATTE MEDIUM,326.0,"91,862.82",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
ICED SALTED CARAMEL LATTE LARGE,78.0,"26,349.25",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
COLD BREW BOTTLE,436.0,"59,258.26",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
Total by Group: MIXED COLD BEVERAGES,22639.0,"5,360,581.63",False,Stories - Bir Hasan,COLD BAR SECTION,MIXED COLD BEVERAGES
COFFEE FRAPPE SMALL,225.0,"43,743.06",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
COFFEE FRAPPE MEDIUM,229.0,"53,259.07",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
CARAMEL FRAPP SMALL,1640.0,"384,807.72",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
CARAMEL FRAPP MEDIUM,2287.0,"634,455.14",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
CARAMEL FRAPP LARGE,846.0,"276,544.61",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
COFFEE FRAPP LARGE,181.0,"48,653.69",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
MOCHA FRAPP SMALL,375.0,"83,627.09",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
MOCHA FRAPP MEDIUM,725.0,"197,497.30",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
MOCHA FRAPP LARGE,303.0,"91,741.29",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
ESPRESSO FRAPP SMALL,420.0,"78,662.16",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
ESPRESSO FRAPP MEDIUM,618.0,"143,655.98",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
ESPRESSO FRAPP LARGE,130.0,"34,910.99",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
VANILLA CREAM FRAPP SMALL,147.0,"32,336.64",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
VANILLA CREAM FRAPP MEDIUM,140.0,"36,749.19",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
VANILLA CREAM FRAPP LARGE,42.0,"12,720.84",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
WHITE MOCHA FRAPP SMALL,268.0,"61,754.50",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
WHITE MOCHA FRAPP MEDIUM,413.0,"110,217.30",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
WHITE MOCHA FRAPP LARGE,165.0,"50,469.37",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
WHITE MOCHA CREAM FRAPP SMALL,38.0,"8,269.04",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
WHITE MOCHA CREAM FRAPP MEDIUM,71.0,"18,906.31",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
CHOCOLATE CREAM FRAPP MEDIUM,396.0,"108,678.32",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
CHOCOLATE CREAM FRAPP LARGE,53.0,"14,921.86",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
WHITE MOCHA CREAM FRAPP LARGE,33.0,"10,013.84",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
CHOCOLATE CREAM FRAP SMALL,283.0,"63,877.45",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
CARAMEL CREAM  FRAPP MEDIUM,305.0,"83,562.52",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
CARAMEL CREAM  FRAPP LARGE,53.0,"16,764.29",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
CARAMEL CREAM FRAPP SMALL,391.0,"89,490.90",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
MATCHA CREAM  FRAPP SMALL,160.0,"33,093.81",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
MATCHA CREAM FRAPP MEDIUM,248.0,"65,878.44",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
MATCHA CREAM FRAPP LARGE,130.0,"40,027.60",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
STRAWBERRY CREAM FRAPP SMALL,674.0,"150,796.07",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
STRAWBERRY CREAM FRAPP MEDIUM,512.0,"140,754.23",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
STRAWBERRY CREAM FRAPP LARGE,144.0,"43,479.88",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
VANILLA FRAP SMALL,113.0,"26,294.35",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
VANILLA FRAPP MEDIUM,129.0,"34,279.64",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
VANILLA FRAPP LARGE,14.0,"4,231.65",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
HAZELNUT FRAPP SMALL,25.0,"6,027.15",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
HAZELNUT FRAPP MEDIUM,54.0,"14,554.96",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
HAZELNUT FRAPP LARGE,5.0,"1,410.81",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
TOFFEENUT FRAP SMALL,12.0,"3,047.20",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
TOFFEENUT FRAP MEDIUM,36.0,"10,334.70",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
TOFFEENUT CREAM  FRAP SMALL,4.0,"1,070.26",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
TOFFEENUT CREAM  FRAP MEDIUM,10.0,"2,905.37",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
TOFFEENUT CREAM  FRAP LARGE,2.0,700.00,False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
TOFFEENUT FRAP LARGE,12.0,"4,167.57",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
SALTED CARAMEL FRAPPE SMALL,73.0,"18,120.67",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
SALTED CARAMEL CREAM FRAPPE SMALL,26.0,"6,635.79",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
SALTED CARAMEL CREAM FRAPPE MEDIUM,66.0,"19,179.64",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
SALTED CARAMEL CREAM FRAPPE LARGE,23.0,"7,453.75",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
SALTED CARAMEL FRAPPE MEDIUM,170.0,"49,231.14",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
SALTED CARAMEL FRAPPE LARGE,108.0,"36,028.53",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
STRAWBERRY SHAKE,3.0,990.99,False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
Total by Group: BLENDED BRINKS,13530.0,"3,510,984.68",False,Stories - Bir Hasan,COLD BAR SECTION,BLENDED BRINKS
ICED PEACH TEA  SMALL,314.0,"31,801.23",False,Stories - Bir Hasan,COLD BAR SECTION,ICE TEA
ICED PEACH TEA  MEDIUM,177.0,"43,202.40",False,Stories - Bir Hasan,COLD BAR SECTION,ICE TEA
ICED LEMON TEA  SMALL,6.0,"1,400.00",False,Stories - Bir Hasan,COLD BAR SECTION,ICE TEA
ICED LEMON TEA  MEDIUM,2.0,533.33,False,Stories - Bir Hasan,COLD BAR SECTION,ICE TEA
ICED PEACH TEA LARGE,78.0,"21,673.51",False,Stories - Bir Hasan,COLD BAR SECTION,ICE TEA
Total by Group: ICE TEA,577.0,"98,610.48",False,Stories - Bir Hasan,COLD BAR SECTION,ICE TEA
ADD CARAMEL SMALL,653.0,"14,660.36",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD VANILLA SMALL,547.0,"15,523.84",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD HAZELNUT SMALL,309.5,"9,922.94",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD CARAMEL MEDIUM,1438.0,"47,414.51",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD VANILLA MEDIUM,1382.0,"45,809.01",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD HAZELNUT MEDIUM,391.0,"12,891.20",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD SHOT,8074.5,"238,823.39",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD WHIPPED CREAM,945.0,"32,782.52",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD MOCHA SMALL,32.0,695.59,False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD WHITE MOCHA SMALL,1654.0,"26,646.94",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD CARAMEL DRIZZLE,939.0,"31,348.02",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD CHOCOLATE DRIZZLE,299.0,"10,161.11",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD CARAMEL LARGE,477.0,"15,990.03",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD VANILLA LARGE,583.0,"19,528.95",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD HAZELNUT LARGE,129.0,"4,395.14",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD CARAMEL SF MEDIUM,1113.0,"37,294.20",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD CARAMEL SF LARGE,361.0,"12,098.50",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD VANILLA SF SMALL,1362.0,"45,294.36",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD VANILLA SF MEDIUM,1624.0,"53,374.42",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD VANILLA SF LARGE,575.0,"19,318.14",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD CARAMEL SF SMALL,1184.0,"39,863.36",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD YIRGACHEFFE SHOT,372.0,"12,602.58",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
REPLACE 1 SHOT YIRGACHEFFE,2017.0,"132,464.38",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
REPLACE 2 SHOT YIRGACHEFFE,1843.0,"120,424.44",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
REPLACE 3 SHOT YIRGACHEFFE,300.0,"19,814.53",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
NO WHIPPED CREAM,147.0,0.00,False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD WHITE MOCHA MEDIUM,1155.0,"37,790.81",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD WHITE MOCHA LARGE,305.0,"10,247.69",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
1 SHOT DECAFE,523.0,0.00,False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
2 SHOT DECAFE,765.0,0.00,False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
3 SHOT DECAFE,140.0,0.00,False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD MOCHA LARGE,64.0,"2,188.14",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD MOCHA MEDIUM,101.0,"3,425.80",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
STRAWBERRY DRIZZLE TOPPING,49.0,"1,610.69",False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD TOFFEE NUT SMALL,5.0,120.12,False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
ADD TOFFEE NUT MEDIUM,6.0,200.03,False,Stories - Bir Hasan,COLD BAR SECTION,ADD SYRUP
